net,length_um
execute.rf.reg_outputs\[4\]\[9\],170.25
net245,170.03
execute.rf.reg_outputs\[5\]\[14\],169.47
_2114_,169.01
decode.oc_l_reg_sel\[2\],168.745
decode.oc_alu_mode\[3\],168.26
_3600_,167.815
_1823_,167.66
_1381_,167.655
_0568_,166.995
execute.alu_mul_div.mul_res\[13\],166.905
net236,166.695
execute.o_reg_ie\[6\],166.44
_1155_,166.21
_3664_,165.97
_1949_,165.865
_0794_,165.32
_1331_,165.29
_0910_,165.18
execute.rf.reg_outputs\[4\]\[5\],164.835
_1551_,164.555
execute.alu_mul_div.mul_res\[2\],164.5
_1030_,164.485
_3403_,163.84
_3468_,163.485
_0677_,163.245
net132,163.185
_1350_,162.615
_0689_,162.585
_3331_,162.51
clknet_2_3_0_i_clk,162.49
_1308_,162.305
_0912_,160.72
execute.o_reg_ie\[2\],160.55
net129,160.33
_3337_,160.23
execute.rf.reg_outputs\[6\]\[9\],159.905
_0898_,159.32
_3392_,159.32
execute.sreg_irq_pc.o_d\[15\],158.825
execute.rf.reg_outputs\[6\]\[7\],158.675
execute.rf.reg_outputs\[7\]\[12\],158.5
execute.rf.reg_outputs\[6\]\[5\],158.255
_0684_,158.22
net133,158.195
_0775_,157.935
_3709_,157.47
execute.rf.reg_outputs\[5\]\[2\],157.26
_0526_,156.765
execute.rf.reg_outputs\[6\]\[4\],156.545
_1717_,156.235
net46,155.9
_0804_,155.87
net124,155.725
_1042_,154.505
execute.rf.reg_outputs\[3\]\[2\],154.49
execute.rf.reg_outputs\[5\]\[5\],154.44
decode.oc_alu_mode\[2\],154.38
_0812_,154.16
decode.i_instr_l\[7\],153.435
_1604_,153.23
_2689_,153.05
_1039_,152.065
_0765_,151.995
_0511_,151.96
net130,151.765
execute.rf.reg_outputs\[5\]\[13\],151.56
_3039_,151.34
execute.rf.reg_outputs\[4\]\[8\],150.72
_0811_,150.295
_0669_,150.05
execute.rf.reg_outputs\[7\]\[13\],149.87
_0527_,149.79
execute.rf.reg_outputs\[2\]\[11\],149.735
_3594_,149.3
execute.rf.reg_outputs\[3\]\[15\],148.27
execute.trap_flag,147.99
execute.rf.reg_outputs\[3\]\[12\],147.855
_1369_,147.76
_1045_,147.74
_3070_,147.295
_1037_,147.18
execute.rf.reg_outputs\[6\]\[8\],146.55
execute.rf.reg_outputs\[5\]\[9\],146.36
execute.alu_flag_reg.o_d\[0\],145.81
_0840_,145.74
_2755_,145.725
execute.rf.reg_outputs\[1\]\[2\],145.33
execute.rf.reg_outputs\[2\]\[6\],145.165
net22,144.79
execute.rf.reg_outputs\[5\]\[4\],144.215
_3047_,144.015
_3595_,144.01
net131,143.69
execute.rf.reg_outputs\[3\]\[8\],143.29
execute.rf.reg_outputs\[7\]\[6\],143.27
_3810_,143.22
_0659_,143.19
execute.rf.reg_outputs\[5\]\[7\],143.13
execute.rf.reg_outputs\[2\]\[15\],142.99
_3624_,142.945
_1288_,142.815
_1265_,142.415
_1928_,141.89
_0786_,141.845
_2683_,141.69
net126,141.15
_0593_,141.07
_2514_,141.03
decode.oc_jump_cond_code\[3\],141.015
_1044_,140.61
_3016_,139.96
_1161_,139.955
execute.rf.reg_outputs\[3\]\[13\],139.145
_1539_,139
_1560_,138.98
_3654_,138.9
_3736_,138.76
_3726_,138.63
execute.rf.reg_outputs\[4\]\[1\],138.395
_1186_,138.39
execute.pc_high_out\[0\],138.205
execute.rf.reg_outputs\[1\]\[3\],138.135
execute.sreg_irq_pc.o_d\[8\],138.12
_1153_,137.83
_0780_,137.72
_1748_,137.625
execute.rf.reg_outputs\[3\]\[14\],137.595
_1853_,137.23
_0779_,136.97
_0781_,136.695
_0664_,136.585
execute.rf.reg_outputs\[5\]\[10\],136.365
_1774_,136.3
_1773_,135.925
_0821_,135.275
_3121_,134.85
_2433_,134.17
_3565_,133.805
execute.rf.reg_outputs\[5\]\[3\],133.73
net249,133.695
execute.alu_mul_div.cbit\[2\],133.47
_0580_,133.435
execute.sreg_irq_pc.o_d\[3\],133.21
_1550_,133.005
execute.rf.reg_outputs\[2\]\[7\],132.935
_0152_,132.68
_1028_,132.63
execute.rf.reg_outputs\[3\]\[5\],132.515
_0784_,132.125
execute.rf.reg_outputs\[7\]\[7\],132.125
_2696_,131.81
execute.alu_mul_div.mul_res\[1\],131.605
_2734_,131.54
_3062_,131.445
execute.rf.reg_outputs\[5\]\[11\],131.445
clknet_2_2_0_i_clk,131.325
net98,131.23
execute.alu_mul_div.mul_res\[0\],130.695
_0807_,130.69
execute.rf.reg_outputs\[4\]\[4\],130.31
execute.sreg_irq_pc.o_d\[9\],130.22
execute.rf.reg_outputs\[4\]\[10\],130.14
_1371_,130.135
net250,130
_0151_,129.935
execute.rf.reg_outputs\[2\]\[10\],129.895
net44,129.88
execute.rf.reg_outputs\[6\]\[1\],129.69
execute.rf.reg_outputs\[3\]\[9\],129.625
_1860_,129.545
_1600_,129.025
_1872_,129.025
_0755_,128.8
execute.o_data\[6\],128.75
_1558_,128.365
_0795_,127.895
_1041_,127.745
execute.alu_mul_div.i_div,127.37
_2529_,127.195
_3435_,127.13
_2462_,126.64
execute.o_data\[3\],126.475
_1134_,126.15
execute.rf.reg_outputs\[7\]\[5\],126.12
_0504_,125.515
execute.o_data\[4\],125.455
_0520_,125.36
_1027_,125.15
_1650_,125.135
execute.rf.reg_outputs\[3\]\[10\],124.985
clknet_leaf_94_i_clk,124.74
execute.rf.reg_outputs\[4\]\[0\],124.675
execute.rf.reg_outputs\[5\]\[8\],124.64
_2992_,124.575
net127,124.15
_0711_,124.105
_3667_,123.84
_3618_,123.715
_0822_,123.43
_1583_,123.41
_0683_,123.26
net246,122.945
execute.rf.reg_outputs\[4\]\[15\],122.79
execute.rf.reg_outputs\[4\]\[11\],122.675
clknet_2_0_0_i_clk,122.355
_3747_,122.345
execute.rf.reg_outputs\[3\]\[0\],122.08
_3038_,121.78
_3091_,121.42
execute.rf.reg_outputs\[3\]\[7\],121.215
_3050_,121.11
_1034_,120.93
_2910_,120.675
_0909_,120.26
clknet_2_1_0_i_clk,120.19
execute.rf.reg_outputs\[2\]\[12\],120.16
_3630_,120.06
_2902_,119.73
execute.rf.reg_outputs\[5\]\[0\],119.51
execute.rf.reg_outputs\[2\]\[8\],119.125
execute.rf.reg_outputs\[7\]\[2\],118.93
_1620_,118.87
execute.rf.reg_outputs\[2\]\[2\],118.645
_1200_,118.415
execute.alu_mul_div.mul_res\[14\],118.22
_0828_,117.44
execute.rf.reg_outputs\[2\]\[4\],117.295
_3676_,116.96
_2456_,116.89
_3586_,116.85
_3057_,116.23
_0806_,116.125
execute.o_data\[9\],116.07
_0530_,115.845
net72,115.56
_3040_,115.365
_3592_,115.34
decode.oc_alu_mode\[12\],115.31
_3643_,115.06
_3042_,114.905
_1376_,114.495
_2188_,114.48
_3686_,114.46
net43,114.385
execute.alu_mul_div.mul_res\[15\],114.35
_3631_,114.285
decode.oc_mem_long,113.89
_1337_,113.24
_1769_,112.965
execute.alu_flag_reg.o_d\[4\],112.635
decode.oc_alu_mode\[1\],112.06
net28,111.425
_3696_,110.99
_0802_,110.765
net31,110.67
_1971_,109.895
_1776_,109.235
_1589_,108.99
execute.rf.reg_outputs\[1\]\[0\],108.96
_3131_,108.745
net198,108.66
_3114_,108.615
_3533_,108.615
execute.pc_high_out\[1\],108.565
net24,108.555
_2052_,108.485
_1779_,108.425
_0665_,108.29
execute.rf.reg_outputs\[2\]\[1\],107.97
decode.oc_mem_we,107.915
net114,107.89
execute.sreg_irq_pc.o_d\[10\],107.645
decode.i_instr_l\[8\],107.365
net125,107.35
clknet_leaf_68_i_clk,106.905
_0899_,106.58
clknet_leaf_91_i_clk,106.47
_0897_,106.125
execute.o_data\[1\],106.055
_1613_,105.715
execute.pc_high_buff_out\[0\],105.655
_2511_,105.615
_1169_,105.585
_1747_,105.47
clknet_leaf_47_i_clk,105.145
_0503_,104.75
_3511_,104.2
_0509_,103.945
_1538_,103.67
_3599_,103.285
_0610_,103.17
_2530_,102.955
_2764_,102.9
_0915_,102.88
_3611_,102.58
clknet_leaf_69_i_clk,102.45
_1625_,102.39
_2875_,102.29
_3101_,102.06
_3063_,101.945
_2669_,101.82
execute.rf.reg_outputs\[2\]\[14\],101.8
_1634_,101.73
_3577_,101.69
_1870_,101.64
_3692_,101.5
_1924_,101.445
_1375_,101.41
net26,100.995
execute.pc_high_buff_out\[1\],100.955
net74,100.855
net27,100.565
_1822_,100.485
